timestamp_sec,rel_time_s,throughput_mbps
1776100959,365,1.2134
1776100960,366,1.2124
1776100961,367,1.215
1776100962,368,1.2109
1776100963,369,1.2129
1776100964,370,1.2206
1776100965,371,1.2093
1776100966,372,1.2119
1776100967,373,1.2145
1776100968,374,1.215
1776100969,375,1.2124
1776100970,376,1.2134
1776100971,377,1.2114
1776100972,378,1.2201
1776100973,379,1.2129
1776100974,380,1.2165
1776100975,381,1.2119
1776100976,382,1.2145
1776100977,383,1.2134
1776100978,384,1.2186
1776100979,385,1.2068
1776100980,386,1.2191
1776100981,387,1.2129
1776100982,388,1.214
1776100983,389,1.2165
1776100984,390,1.2175
1776100985,391,1.2129
1776100986,392,1.217
1776100987,393,1.2104
1776100988,394,1.2175
1776100989,395,1.2165
1776100990,396,1.215
1776100991,397,1.217
1776100992,398,1.2129
1776100993,399,1.2134
1776100994,400,1.2211
1776100995,401,1.2155
1776100996,402,1.2216
1776100997,403,1.2142
1776100998,404,1.2137
1776100999,405,1.2145
1776101000,406,1.215
1776101001,407,1.2099
1776101002,408,1.2165
1776101003,409,1.2073
1776101004,410,1.218
1776101005,411,1.216
1776101006,412,1.215
1776101007,413,1.2119
1776101008,414,1.214
1776101009,415,1.2119
1776101010,416,1.2196
1776101011,417,1.2119
1776101012,418,1.214
1776101013,419,1.2099
1776101014,420,0.1946
