timestamp,rel_time_s,direction,ipg_ms
1775739587.476608,503.49943113327026,PLC -> IO,32.002
1775739587.50861,503.53143310546875,PLC -> IO,32.002
1775739587.540608,503.5634310245514,PLC -> IO,31.998
1775739587.572612,503.5954351425171,PLC -> IO,32.004
1775739587.604609,503.6274321079254,PLC -> IO,31.997
1775739587.636703,503.65952610969543,PLC -> IO,32.094
1775739587.668577,503.69140005111694,PLC -> IO,31.874
1775739587.700612,503.7234351634979,PLC -> IO,32.035
1775739587.732579,503.7554020881653,PLC -> IO,31.967
1775739587.764536,503.7873589992523,PLC -> IO,31.957
1775739587.796533,503.8193562030792,PLC -> IO,31.997
1775739587.828564,503.8513870239258,PLC -> IO,32.031
1775739587.860566,503.88338899612427,PLC -> IO,32.002
1775739587.892567,503.91539001464844,PLC -> IO,32.001
1775739587.924616,503.9474391937256,PLC -> IO,32.049
1775739587.95662,503.9794430732727,PLC -> IO,32.004
1775739587.98862,504.01144313812256,PLC -> IO,32.0
1775739588.020621,504.04344415664673,PLC -> IO,32.001
1775739588.052619,504.07544207572937,PLC -> IO,31.998
1775739588.084615,504.1074380874634,PLC -> IO,31.996
1775739588.116583,504.13940620422363,PLC -> IO,31.968
1775739588.148561,504.17138409614563,PLC -> IO,31.978
1775739588.180595,504.2034180164337,PLC -> IO,32.034
1775739588.212591,504.2354140281677,PLC -> IO,31.996
1775739588.244589,504.26741218566895,PLC -> IO,31.998
1775739588.276554,504.29937720298767,PLC -> IO,31.965
1775739588.308564,504.33138704299927,PLC -> IO,32.01
1775739588.34055,504.36337304115295,PLC -> IO,31.986
1775739588.372626,504.39544916152954,PLC -> IO,32.076
1775739588.404628,504.427451133728,PLC -> IO,32.002
1775739588.436659,504.45948219299316,PLC -> IO,32.031
1775739588.468629,504.4914519786835,PLC -> IO,31.97
1775739588.500631,504.52345418930054,PLC -> IO,32.002
1775739588.53263,504.5554530620575,PLC -> IO,31.999
1775739588.564631,504.58745408058167,PLC -> IO,32.001
1775739588.596629,504.6194519996643,PLC -> IO,31.998
1775739588.628634,504.6514570713043,PLC -> IO,32.005
1775739588.660634,504.6834571361542,PLC -> IO,32.0
1775739588.692634,504.715457201004,PLC -> IO,32.0
1775739588.724635,504.7474579811096,PLC -> IO,32.001
1775739588.756561,504.77938413619995,PLC -> IO,31.926
1775739588.788555,504.81137800216675,PLC -> IO,31.994
1775739588.820607,504.84343004226685,PLC -> IO,32.052
1775739588.852638,504.875461101532,PLC -> IO,32.031
1775739588.88464,504.90746307373047,PLC -> IO,32.002
1775739588.916644,504.93946719169617,PLC -> IO,32.004
1775739588.94864,504.9714632034302,PLC -> IO,31.996
1775739588.980608,505.00343108177185,PLC -> IO,31.968
1775739589.012641,505.0354640483856,PLC -> IO,32.033
1775739589.044642,505.0674650669098,PLC -> IO,32.001
1775739589.076638,505.0994610786438,PLC -> IO,31.996
1775739589.108645,505.13146805763245,PLC -> IO,32.007
1775739589.14059,505.1634130477905,PLC -> IO,31.945
1775739589.172576,505.1953990459442,PLC -> IO,31.986
1775739589.204635,505.2274580001831,PLC -> IO,32.059
1775739589.236648,505.2594711780548,PLC -> IO,32.013
1775739589.268647,505.29147005081177,PLC -> IO,31.999
1775739589.300649,505.32347202301025,PLC -> IO,32.002
1775739589.332574,505.3553969860077,PLC -> IO,31.925
1775739589.364612,505.3874351978302,PLC -> IO,32.038
1775739589.396574,505.4193971157074,PLC -> IO,31.962
1775739589.428599,505.45142221450806,PLC -> IO,32.025
1775739589.460601,505.48342418670654,PLC -> IO,32.002
1775739589.492605,505.51542806625366,PLC -> IO,32.004
1775739589.524653,505.5474760532379,PLC -> IO,32.048
1775739589.556653,505.57947611808777,PLC -> IO,32.0
1775739589.58865,505.6114730834961,PLC -> IO,31.997
1775739589.620657,505.64348006248474,PLC -> IO,32.007
1775739589.652625,505.675448179245,PLC -> IO,31.968
1775739589.684658,505.70748114585876,PLC -> IO,32.033
1775739589.716657,505.7394800186157,PLC -> IO,31.999
1775739589.748597,505.77142000198364,PLC -> IO,31.94
1775739589.780583,505.80340600013733,PLC -> IO,31.986
1775739589.812519,505.835342168808,PLC -> IO,31.936
1775739589.844529,505.8673520088196,PLC -> IO,32.01
1775739589.876662,505.8994851112366,PLC -> IO,32.133
1775739589.908663,505.93148612976074,PLC -> IO,32.001
1775739589.940627,505.96345019340515,PLC -> IO,31.964
1775739589.972599,505.99542212486267,PLC -> IO,31.972
1775739590.004588,506.0274109840393,PLC -> IO,31.989
1775739590.036583,506.059406042099,PLC -> IO,31.995
1775739590.068578,506.0914011001587,PLC -> IO,31.995
1775739590.100563,506.12338614463806,PLC -> IO,31.985
1775739590.132589,506.15541219711304,PLC -> IO,32.026
1775739590.164636,506.1874589920044,PLC -> IO,32.047
1775739590.1966,506.2194230556488,PLC -> IO,31.964
1775739590.228601,506.251424074173,PLC -> IO,32.001
1775739590.260672,506.2834951877594,PLC -> IO,32.071
1775739590.292709,506.315532207489,PLC -> IO,32.037
1775739590.324601,506.34742403030396,PLC -> IO,31.892
1775739590.356635,506.3794581890106,PLC -> IO,32.034
1775739590.388632,506.41145515441895,PLC -> IO,31.997
1775739590.420601,506.44342398643494,PLC -> IO,31.969
1775739590.452601,506.4754240512848,PLC -> IO,32.0
1775739590.484591,506.5074141025543,PLC -> IO,31.99
1775739590.516677,506.53949999809265,PLC -> IO,32.086
1775739590.548679,506.5715022087097,PLC -> IO,32.002
1775739590.580678,506.6035010814667,PLC -> IO,31.999
1775739590.612678,506.6355011463165,PLC -> IO,32.0
1775739590.644679,506.6675021648407,PLC -> IO,32.001
1775739590.676683,506.6995060443878,PLC -> IO,32.004
1775739590.70868,506.73150300979614,PLC -> IO,31.997
1775739590.740682,506.76350498199463,PLC -> IO,32.002
1775739590.772646,506.79546904563904,PLC -> IO,31.964
1775739590.804623,506.8274459838867,PLC -> IO,31.977
1775739590.836652,506.8594751358032,PLC -> IO,32.029
1775739590.868613,506.8914361000061,PLC -> IO,31.961
1775739590.900745,506.9235680103302,PLC -> IO,32.132
1775739590.932685,506.9555079936981,PLC -> IO,31.94
1775739590.964654,506.9874770641327,PLC -> IO,31.969
1775739590.996645,507.01946806907654,PLC -> IO,31.991
1775739591.028686,507.051509141922,PLC -> IO,32.041
1775739591.060688,507.0835111141205,PLC -> IO,32.002
1775739591.092688,507.11551117897034,PLC -> IO,32.0
1775739591.124691,507.14751410484314,PLC -> IO,32.003
1775739591.156631,507.17945408821106,PLC -> IO,31.94
1775739591.188695,507.2115180492401,PLC -> IO,32.064
1775739591.220692,507.24351501464844,PLC -> IO,31.997
1775739591.252648,507.27547121047974,PLC -> IO,31.956
1775739591.284623,507.3074460029602,PLC -> IO,31.975
1775739591.316681,507.3395040035248,PLC -> IO,32.058
1775739591.348682,507.37150502204895,PLC -> IO,32.001
1775739591.380659,507.4034821987152,PLC -> IO,31.977
1775739591.412621,507.4354441165924,PLC -> IO,31.962
1775739591.444646,507.4674689769745,PLC -> IO,32.025
1775739591.476647,507.49946999549866,PLC -> IO,32.001
1775739591.508699,507.53152203559875,PLC -> IO,32.052
1775739591.540698,507.5635211467743,PLC -> IO,31.999
1775739591.5727,507.5955231189728,PLC -> IO,32.002
1775739591.6047,507.62752318382263,PLC -> IO,32.0
1775739591.636667,507.65949010849,PLC -> IO,31.967
1775739591.668669,507.6914920806885,PLC -> IO,32.002
1775739591.700703,507.72352600097656,PLC -> IO,32.034
1775739591.732703,507.7555260658264,PLC -> IO,32.0
1775739591.764704,507.7875270843506,PLC -> IO,32.001
1775739591.796667,507.8194901943207,PLC -> IO,31.963
1775739591.828627,507.85145020484924,PLC -> IO,31.96
1775739591.860676,507.8834991455078,PLC -> IO,32.049
1775739591.892656,507.915479183197,PLC -> IO,31.98
1775739591.924656,507.9474790096283,PLC -> IO,32.0
1775739591.956707,507.9795300960541,PLC -> IO,32.051
1775739591.98871,508.0115330219269,PLC -> IO,32.003
1775739592.020709,508.0435321331024,PLC -> IO,31.999
1775739592.05271,508.0755331516266,PLC -> IO,32.001
1775739592.084711,508.10753417015076,PLC -> IO,32.001
1775739592.116713,508.13953614234924,PLC -> IO,32.002
1775739592.148714,508.1715371608734,PLC -> IO,32.001
1775739592.180713,508.20353603363037,PLC -> IO,31.999
1775739592.212717,508.23554015159607,PLC -> IO,32.004
1775739592.244714,508.2675371170044,PLC -> IO,31.997
1775739592.276717,508.2995400428772,PLC -> IO,32.003
1775739592.308671,508.3314940929413,PLC -> IO,31.954
1775739592.340657,508.36348009109497,PLC -> IO,31.986
1775739592.372657,508.3954801559448,PLC -> IO,32.0
1775739592.404684,508.4275071620941,PLC -> IO,32.027
1775739592.43664,508.45946311950684,PLC -> IO,31.956
1775739592.468693,508.49151611328125,PLC -> IO,32.053
1775739592.500671,508.52349400520325,PLC -> IO,31.978
1775739592.532638,508.5554611682892,PLC -> IO,31.967
1775739592.56467,508.58749318122864,PLC -> IO,32.032
1775739592.596725,508.6195480823517,PLC -> IO,32.055
1775739592.628723,508.6515460014343,PLC -> IO,31.998
1775739592.660724,508.6835470199585,PLC -> IO,32.001
1775739592.692726,508.715548992157,PLC -> IO,32.002
1775739592.724727,508.74755001068115,PLC -> IO,32.001
1775739592.756729,508.77955198287964,PLC -> IO,32.002
1775739592.788726,508.81154918670654,PLC -> IO,31.997
1775739592.820728,508.84355115890503,PLC -> IO,32.002
1775739592.852728,508.8755509853363,PLC -> IO,32.0
1775739592.884734,508.90755701065063,PLC -> IO,32.006
1775739592.916727,508.9395501613617,PLC -> IO,31.993
1775739592.948827,508.9716501235962,PLC -> IO,32.1
1775739592.980694,509.0035171508789,PLC -> IO,31.867
1775739593.012733,509.03555607795715,PLC -> IO,32.039
1775739593.044732,509.0675551891327,PLC -> IO,31.999
1775739593.076735,509.0995581150055,PLC -> IO,32.003
1775739593.108734,509.13155698776245,PLC -> IO,31.999
1775739593.140697,509.16352009773254,PLC -> IO,31.963
1775739593.172673,509.1954960823059,PLC -> IO,31.976
1775739593.204644,509.2274670600891,PLC -> IO,31.971
1775739593.236656,509.2594790458679,PLC -> IO,32.012
1775739593.268649,509.291472196579,PLC -> IO,31.993
1775739593.300649,509.32347202301025,PLC -> IO,32.0
1775739593.332634,509.3554570674896,PLC -> IO,31.985
1775739593.364707,509.3875300884247,PLC -> IO,32.073
1775739593.396711,509.4195342063904,PLC -> IO,32.004
1775739593.428727,509.45155000686646,PLC -> IO,32.016
1775739593.460742,509.4835650920868,PLC -> IO,32.015
1775739593.492742,509.51556515693665,PLC -> IO,32.0
1775739593.524743,509.5475661754608,PLC -> IO,32.001
1775739593.556744,509.579567193985,PLC -> IO,32.001
1775739593.588745,509.61156821250916,PLC -> IO,32.001
1775739593.620693,509.6435160636902,PLC -> IO,31.948
1775739593.652658,509.6754810810089,PLC -> IO,31.965
1775739593.684653,509.7074761390686,PLC -> IO,31.995
1775739593.716702,509.7395250797272,PLC -> IO,32.049
1775739593.748723,509.771546125412,PLC -> IO,32.021
1775739593.780723,509.80354619026184,PLC -> IO,32.0
1775739593.812753,509.8355760574341,PLC -> IO,32.03
1775739593.844748,509.8675711154938,PLC -> IO,31.995
1775739593.876751,509.8995740413666,PLC -> IO,32.003
1775739593.908752,509.93157505989075,PLC -> IO,32.001
1775739593.940752,509.9635751247406,PLC -> IO,32.0
1775739593.972752,509.99557518959045,PLC -> IO,32.0
1775739594.004754,510.02757716178894,PLC -> IO,32.002
1775739594.036756,510.0595791339874,PLC -> IO,32.002
1775739594.068757,510.0915801525116,PLC -> IO,32.001
1775739594.100756,510.12357902526855,PLC -> IO,31.999
1775739594.132759,510.15558218955994,PLC -> IO,32.003
1775739594.164758,510.1875810623169,PLC -> IO,31.999
1775739594.196759,510.21958208084106,PLC -> IO,32.001
1775739594.228726,510.2515490055084,PLC -> IO,31.967
1775739594.260679,510.2835021018982,PLC -> IO,31.953
1775739594.29268,510.31550312042236,PLC -> IO,32.001
1775739594.324693,510.3475160598755,PLC -> IO,32.013
1775739594.356696,510.3795189857483,PLC -> IO,32.003
1775739594.388679,510.411502122879,PLC -> IO,31.983
1775739594.420715,510.4435381889343,PLC -> IO,32.036
1775739594.452698,510.4755210876465,PLC -> IO,31.983
1775739594.484766,510.5075891017914,PLC -> IO,32.068
1775739594.516766,510.53958916664124,PLC -> IO,32.0
1775739594.548766,510.5715889930725,PLC -> IO,32.0
1775739594.580766,510.60358905792236,PLC -> IO,32.0
1775739594.612771,510.6355941295624,PLC -> IO,32.005
1775739594.644707,510.66753005981445,PLC -> IO,31.936
1775739594.676683,510.6995060443878,PLC -> IO,31.976
1775739594.708689,510.73151206970215,PLC -> IO,32.006
1775739594.740771,510.7635941505432,PLC -> IO,32.082
1775739594.772772,510.7955951690674,PLC -> IO,32.001
1775739594.804772,510.82759499549866,PLC -> IO,32.0
1775739594.836774,510.8595972061157,PLC -> IO,32.002
1775739594.868769,510.89159202575684,PLC -> IO,31.995
1775739594.900776,510.9235990047455,PLC -> IO,32.007
1775739594.932777,510.95560002326965,PLC -> IO,32.001
1775739594.964729,510.9875521659851,PLC -> IO,31.952
1775739594.996747,511.0195701122284,PLC -> IO,32.018
1775739595.028779,511.05160212516785,PLC -> IO,32.032
1775739595.06078,511.083603143692,PLC -> IO,32.001
1775739595.09278,511.11560320854187,PLC -> IO,32.0
1775739595.124782,511.14760518074036,PLC -> IO,32.002
1775739595.156783,511.1796061992645,PLC -> IO,32.001
1775739595.188781,511.21160411834717,PLC -> IO,31.998
1775739595.220677,511.24349999427795,PLC -> IO,31.896
1775739595.252745,511.27556800842285,PLC -> IO,32.068
1775739595.284703,511.3075261116028,PLC -> IO,31.958
1775739595.316732,511.3395550251007,PLC -> IO,32.029
1775739595.348716,511.37153911590576,PLC -> IO,31.984
1775739595.380787,511.4036099910736,PLC -> IO,32.071
1775739595.412748,511.43557119369507,PLC -> IO,31.961
1775739595.444742,511.46756505966187,PLC -> IO,31.994
1775739595.47676,511.49958300590515,PLC -> IO,32.018
1775739595.50879,511.531613111496,PLC -> IO,32.03
1775739595.54079,511.5636131763458,PLC -> IO,32.0
1775739595.572789,511.5956120491028,PLC -> IO,31.999
1775739595.604838,511.62766098976135,PLC -> IO,32.049
1775739595.636757,511.6595799922943,PLC -> IO,31.919
1775739595.668754,511.6915771961212,PLC -> IO,31.997
1775739595.700792,511.72361516952515,PLC -> IO,32.038
1775739595.732793,511.7556161880493,PLC -> IO,32.001
1775739595.764789,511.7876121997833,PLC -> IO,31.996
1775739595.796795,511.8196179866791,PLC -> IO,32.006
1775739595.828795,511.85161805152893,PLC -> IO,32.0
1775739595.860759,511.88358211517334,PLC -> IO,31.964
1775739595.892716,511.9155390262604,PLC -> IO,31.957
1775739595.924717,511.94754004478455,PLC -> IO,32.001
1775739595.956747,511.97957015037537,PLC -> IO,32.03
1775739595.988749,512.0115721225739,PLC -> IO,32.002
