"No.","Time","Time delta from previous captured frame","Reception Port","Source","Destination","CycleCounter","TransferStatus","Protocol","Length","Info"
"76","0.294963400","0.001308270","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","31232","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:31232 (Valid,Primary,Ok,Run)"
"78","0.304253104","0.004149044","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","31744","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:31744 (Valid,Primary,Ok,Run)"
"79","0.309018180","0.004765076","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","31744","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:31744 (Valid,Primary,Ok,Run)"
"82","0.320253814","0.004108274","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","32256","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:32256 (Valid,Primary,Ok,Run)"
"84","0.326026350","0.000371880","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","32256","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:32256 (Valid,Primary,Ok,Run)"
"86","0.336254524","0.003560204","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","32768","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:32768 (Valid,Primary,Ok,Run)"
"88","0.345084610","0.003430470","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","32768","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:32768 (Valid,Primary,Ok,Run)"
"90","0.352255234","0.006048324","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","33280","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:33280 (Valid,Primary,Ok,Run)"
"93","0.361097550","0.000312666","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","33280","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:33280 (Valid,Primary,Ok,Run)"
"95","0.368255894","0.005518204","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","33792","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:33792 (Valid,Primary,Ok,Run)"
"97","0.373708840","0.000055360","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","33792","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:33792 (Valid,Primary,Ok,Run)"
"99","0.384256604","0.005486234","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","34304","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:34304 (Valid,Primary,Ok,Run)"
"101","0.390164440","0.000511300","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","34304","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:34304 (Valid,Primary,Ok,Run)"
"103","0.400257314","0.003921004","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","34816","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:34816 (Valid,Primary,Ok,Run)"
"105","0.406155210","0.000502400","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","34816","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:34816 (Valid,Primary,Ok,Run)"
"107","0.416258024","0.004891314","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","35328","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:35328 (Valid,Primary,Ok,Run)"
"109","0.422722740","0.001070260","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","35328","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:35328 (Valid,Primary,Ok,Run)"
"111","0.432258724","0.003868334","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","35840","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:35840 (Valid,Primary,Ok,Run)"
"112","0.436283420","0.004024696","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","35840","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:35840 (Valid,Primary,Ok,Run)"
"115","0.448259434","0.005862194","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","36352","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:36352 (Valid,Primary,Ok,Run)"
"117","0.453804420","0.000152600","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","36352","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:36352 (Valid,Primary,Ok,Run)"
"119","0.464260144","0.005291084","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","36864","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:36864 (Valid,Primary,Ok,Run)"
"121","0.469822720","0.000171230","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","36864","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:36864 (Valid,Primary,Ok,Run)"
